USER_ID,USER_NAME,GENDER,SKIN_TYPE,SENSITIVE,ACNE,SKIN_TONE,AGE
rlwjddl1596@naver.com,김기정,Male,Oily,Yes,Yes,Dark,35
rlwjddl234@naver.com,최시우,Female,Combination,Yes,No,Fair,33
rlwjddl234@gmail.com,민은경,Male,Oily,No,No,Dark,34
yeongsig09@example.com,하재현,Female,Dry,Yes,No,Dark,59
seonyeong52@example.com,지영일,Female,Dry,No,No,Dark,52
baggeonu@example.net,안성현,Male,Dry,Yes,Yes,Medium,36
seunghyeon29@example.org,김영진,Female,Combination,No,Yes,Dark,30
hongjinho@example.org,이정훈,Male,Combination,No,Yes,Medium,52
seongmin55@example.org,이준서,Male,Oily,No,Yes,Dark,48
ujang@example.org,김영호,Male,Combination,Yes,Yes,Medium,59
shan@example.org,박영일,Female,Oily,Yes,No,Medium,59
osangho@example.net,이명숙,Male,Dry,No,Yes,Dark,47
ijiu@example.net,김지연,Female,Combination,No,Yes,Fair,54
igang@example.net,김영철,Female,Dry,No,No,Medium,47
oim@example.net,김영철,Male,Dry,No,Yes,Dark,31
bagsangho@example.net,김재현,Female,Oily,No,Yes,Dark,24
janghyeonji@example.com,류민지,Female,Combination,No,No,Medium,51
seongminjo@example.net,김광수,Male,Combination,Yes,Yes,Medium,59
seoyunson@example.net,이상현,Male,Oily,No,Yes,Medium,42
gimjeongung@example.net,김광수,Male,Oily,Yes,Yes,Medium,37
jia38@example.net,차정순,Male,Oily,Yes,No,Dark,30
jgim@example.com,박지아,Female,Dry,Yes,Yes,Medium,39
ogsun61@example.net,김상호,Female,Oily,Yes,Yes,Medium,26
gimyeongil@example.net,박아름,Male,Dry,No,No,Dark,41
boram98@example.org,오경희,Female,Dry,No,Yes,Dark,40
eunseobag@example.org,조서영,Male,Oily,Yes,No,Dark,30
yeongil87@example.com,김준혁,Male,Combination,No,Yes,Fair,18
jeonghyi08@example.org,이영환,Female,Dry,Yes,Yes,Dark,25
igyeonghyi@example.com,이지현,Female,Combination,No,Yes,Dark,27
myeongja19@example.net,강예원,Female,Dry,Yes,Yes,Fair,37
